movie_title,year,duration,genre,rating
Spider-Man: Into the Spider-Verse,2018,117 min,"Animation, Action, Adventure",8.4
The Shawshank Redemption,1994,142 min,Drama,9.3
Guardians of the Galaxy,2014,121 min,"Action, Adventure, Comedy",8.0
John Wick,2014,101 min,"Action, Crime, Thriller",7.4
Interstellar,2014,169 min,"Adventure, Drama, Sci-Fi",8.7
The Fast and the Furious,2001,106 min,"Action, Crime, Thriller",6.8
Harry Potter and the Sorcerer's Stone,2001,152 min,"Adventure, Family, Fantasy",7.6
Heat,1995,170 min,"Action, Crime, Drama",8.3
Shazam!,2019,132 min,"Action, Adventure, Comedy",7.0
GoodFellas,1990,145 min,"Biography, Crime, Drama",8.7
Guardians of the Galaxy Vol. 2,2017,136 min,"Action, Adventure, Comedy",7.6
The Wolf of Wall Street,2013,180 min,"Biography, Comedy, Crime",8.2
Inception,2010,148 min,"Action, Adventure, Sci-Fi",8.8
Once Upon a Time in... Hollywood,2019,161 min,"Comedy, Drama",7.6
The Dark Knight,2008,152 min,"Action, Crime, Drama",9.0
Pulp Fiction,1994,154 min,"Crime, Drama",8.9
Midsommar,2019,148 min,"Drama, Horror, Mystery",7.1
Dirty Grandpa,2016,102 min,Comedy,5.9
What's Love Got to Do with It,1993,118 min,"Biography, Drama, Music",7.3
We're the Millers,2013,110 min,"Comedy, Crime",7.0
Titanic,1997,194 min,"Drama, Romance",7.9
John Wick: Chapter 3 - Parabellum,2019,130 min,"Action, Crime, Thriller",7.4
Hacksaw Ridge,2016,139 min,"Biography, Drama, History",8.1
Avengers: Endgame,2019,181 min,"Action, Adventure, Drama",8.4
Fifty Shades of Grey,2015,125 min,"Drama, Romance, Thriller",4.2
Fast & Furious,2009,107 min,"Action, Crime, Thriller",6.5
Fast & Furious 7,2015,137 min,"Action, Crime, Thriller",7.1
American Psycho,2000,102 min,"Crime, Drama, Horror",7.6
White Men Can't Jump,1992,115 min,"Comedy, Sport",6.8
Pitch Perfect,2012,112 min,"Comedy, Music, Romance",7.1
Jurassic Park,1993,127 min,"Action, Adventure, Sci-Fi",8.2
John Wick: Chapter 2,2017,122 min,"Action, Crime, Thriller",7.4
Blade Runner 2049,2017,164 min,"Action, Drama, Mystery",8.0
Fast Five,2011,130 min,"Action, Crime, Thriller",7.3
Gisaengchung,2019,132 min,"Drama, Thriller",8.5
The Lord of the Rings: The Fellowship of the Ring,2001,178 min,"Action, Adventure, Drama",8.8
The Fate of the Furious,2017,136 min,"Action, Crime, Thriller",6.6
The Green Mile,1999,189 min,"Crime, Drama, Fantasy",8.6
The Hunger Games,2012,142 min,"Action, Adventure, Sci-Fi",7.2
Fight Club,1999,139 min,Drama,8.8
Mad Max: Fury Road,2015,120 min,"Action, Adventure, Sci-Fi",8.1
The Departed,2006,151 min,"Crime, Drama, Thriller",8.5
The Fast and the Furious: Tokyo Drift,2006,104 min,"Action, Crime, Thriller",6.0
Transformers,2007,144 min,"Action, Adventure, Sci-Fi",7.0
Saving Private Ryan,1998,169 min,"Drama, War",8.6
Whiplash,2014,106 min,"Drama, Music",8.5
Inglourious Basterds,2009,153 min,"Adventure, Drama, War",8.3
Tombstone,1993,130 min,"Biography, Drama, History",7.8
Ted,2012,106 min,Comedy,6.9
Forrest Gump,1994,142 min,"Drama, Romance",8.8
It,I 2017,135 min,Horror,7.3
2 Fast 2 Furious,2003,107 min,"Action, Crime, Thriller",5.9
Aladdin,2019,128 min,"Adventure, Comedy, Family",6.9
Hereditary,2018,127 min,"Drama, Horror, Mystery",7.3
The Gentlemen,2019,113 min,"Action, Comedy, Crime",7.8
Good Will Hunting,1997,126 min,"Drama, Romance",8.3
Kingsman: The Secret Service,2014,129 min,"Action, Adventure, Comedy",7.7
Harry Potter and the Goblet of Fire,2005,157 min,"Adventure, Family, Fantasy",7.7
American Pie,1999,95 min,Comedy,7.0
Dazed and Confused,1993,103 min,Comedy,7.6
Se7en,1995,127 min,"Crime, Drama, Mystery",8.6
The Matrix,1999,136 min,"Action, Sci-Fi",8.7
Schindler's List,1993,195 min,"Biography, Drama, History",9.0
The Silence of the Lambs,1991,118 min,"Crime, Drama, Thriller",8.6
Black Swan,2010,108 min,"Drama, Thriller",8.0
Love,II 2015,135 min,"Drama, Romance",6.1
Pride & Prejudice,2005,129 min,"Drama, Romance",7.8
Prisoners,2013,153 min,"Crime, Drama, Mystery",8.1
The Lion King,2019,118 min,"Animation, Adventure, Drama",6.8
Léon,1994,110 min,"Action, Crime, Drama",8.5
Tenet,2020,150 min,"Action, Sci-Fi, Thriller",7.3
Beauty and the Beast,I 2017,129 min,"Adventure, Family, Fantasy",7.1
Book Club,I 2018,104 min,"Comedy, Drama, Romance",6.1
Django Unchained,2012,165 min,"Drama, Western",8.4
Furious 6,2013,130 min,"Action, Adventure, Crime",7.0
Knives Out,2019,130 min,"Comedy, Crime, Drama",7.9
Requiem for a Dream,2000,102 min,Drama,8.3
Tusk,I 2014,102 min,"Comedy, Horror",5.3
Shutter Island,2010,138 min,"Mystery, Thriller",8.2
Cars,2006,117 min,"Animation, Adventure, Comedy",7.2
Joker,I 2019,122 min,"Crime, Drama, Thriller",8.4
The Grand Budapest Hotel,2014,99 min,"Adventure, Comedy, Crime",8.1
Gladiator,2000,155 min,"Action, Adventure, Drama",8.5
Scream,1996,111 min,"Horror, Mystery",7.4
Cinderella,I 2015,105 min,"Adventure, Drama, Family",6.9
Evil Dead,2013,91 min,Horror,6.5
